epoch_id,validator_group,member_count,voting_power,delegated_stake,nominal_fee,network_effective_fee,identity_adjusted_effective_fee
261,PANDABYTE,2,10.17,247350737,0.6,0.6,0.6
262,PANDABYTE,2,10.17,248093798,0.6,0.6,0.6
263,PANDABYTE,2,10.18,248669471,0.6,0.6,0.6
264,PANDABYTE,2,10.22,248987697,0.6,0.6,0.6
265,PANDABYTE,2,10.42,251549689,0.6,0.6,0.6
266,PANDABYTE,2,10.33,251692646,0.6,0.6,0.6
267,PANDABYTE,2,10.36,251961568,0.6,0.6,0.6
268,PANDABYTE,2,10.36,252162780,0.6,0.6,0.6
269,PANDABYTE,2,10.54,252898475,0.6,0.6,0.6
270,PANDABYTE,2,10.48,253689720,0.6,0.6,0.6
271,PANDABYTE,2,10.67,257335992,0.6,0.6,0.6
272,PANDABYTE,2,10.67,258197146,0.99,0.99,0.99
273,PANDABYTE,2,10.69,259113031,0.99,0.99,0.99
274,PANDABYTE,2,10.77,260094816,0.99,0.99,0.99
275,PANDABYTE,2,10.8,260828264,0.99,0.99,0.99
276,PANDABYTE,2,10.81,262133916,0.99,0.99,0.99
277,PANDABYTE,2,10.8,263033284,0.99,0.99,0.99
278,PANDABYTE,2,10.81,263399139,0.99,0.99,0.99
279,PANDABYTE,2,10.83,264026192,0.99,0.99,0.99
280,PANDABYTE,2,10.91,264127264,0.99,0.99,0.99
281,PANDABYTE,2,10.79,263267692,0.99,0.99,0.99
282,PANDABYTE,2,10.69,260872793,0.99,0.99,0.99
283,PANDABYTE,2,10.76,261056136,0.99,0.99,0.99
284,PANDABYTE,2,10.7,261918474,0.99,0.99,0.99
285,PANDABYTE,2,10.71,262176192,0.99,0.99,0.99
286,PANDABYTE,2,10.72,262600631,0.99,0.99,0.99
287,PANDABYTE,2,10.69,261709463,0.99,0.99,0.99
288,PANDABYTE,2,10.7,262052577,0.99,0.99,0.99
289,PANDABYTE,2,10.69,261994278,0.99,0.99,0.99
290,PANDABYTE,2,10.75,263354727,0.99,0.99,0.99
291,PANDABYTE,2,10.71,263677881,0.99,0.99,0.99
292,PANDABYTE,2,10.75,264589576,0.99,0.99,0.99
293,PANDABYTE,2,11.02,271207944,0.99,0.99,0.99
294,PANDABYTE,2,11.02,271372968,0.99,0.99,0.99
295,PANDABYTE,2,11.05,271544770,0.99,0.99,0.99
296,PANDABYTE,2,11.07,271642896,0.99,5.843803627354937,11.07
297,PANDABYTE,2,11.03,270827915,0.99,5.828750320734109,11.03
